Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.375	S4	48	0	1.033	0.05	0.023	0.03	0.117	0.057	0.557	0.597	0.387	0.407	1.023	0.403	0.083	1.507	0	1.107	0.073	0.033	0.29	0.877	1.887	0.037	1.187	0.01	0.36	0.133	0.983	0.567	0.8	1.21	29	0.51058064516129
3.375	S4	48	0	0.43	0.007	0	0	0	0.017	0.723	0.697	0.527	0.003	0.673	0.107	0.147	0.593	0.003	0.11	0.013	0.007	0.31	0.827	1.403	0.04	0.897	0	0.257	0.017	0.79	0.667	0.917	1.173	26	0.366290322580645
3.625	S4	48	0	0.777	0	0	0	0	0.037	0.773	0.967	0.503	0.203	0.783	0.243	0.173	0.69	0	0.01	0.01	0	0.5	0.94	1.74	0.007	1.183	0	0.263	0.257	0.943	0.87	0.85	1.097	23	0.445774193548387
5.875	S4	48	0	0.69	0.203	0.017	0.033	0.823	0.593	0.543	0.61	0.013	0.52	0.827	0.063	0.16	0.937	0.013	0.903	0.02	0	0.393	0.65	1.3	0.023	0.833	0.103	1.013	0.707	0.527	0.533	0.343	0.48	29	0.447516129032258
6.125	S4	48	0.19	0.61	0.413	0.11	0.103	0.727	0.717	0.51	0.597	0.053	0.507	0.783	0.323	0.25	0.973	0	1.087	0.063	0.077	0.327	0.47	1.027	0.03	0.803	0.277	0.737	0.607	0.397	0.577	0.387	0.517	30	0.459645161290323
6.375	S4	48	0	0.593	0.057	0.003	0.013	0.823	0.36	0.463	0.56	0	0.527	0.773	0.023	0.113	0.9	0	0.937	0	0	0.483	0.49	1.083	0.01	0.757	0.167	0.86	0.89	0.497	0.503	0.327	0.373	26	0.405967741935484
6.625	S4	48	0.13	0.683	0.093	0.04	0.143	0.907	0.64	0.71	0.787	0.077	0.8	0.893	0.067	0.197	0.833	0.1	0.987	0.07	0.053	0.373	0.747	1.173	0.143	0.87	0.303	0.883	0.66	0.747	0.523	0.383	0.5	31	0.500483870967742
6.875	S4	48	0.007	0.687	0.307	0	0.007	0.89	0.57	0.6	0.633	0.05	0.437	0.78	0.087	0.193	0.837	0.063	1.123	0.077	0.063	0.273	0.597	1.17	0.003	0.907	0.183	0.9	0.577	0.543	0.523	0.313	0.47	30	0.44741935483871
7.125	S4	48	0.01	0.467	0.02	0.03	0.047	0.783	0.57	0.41	0.527	0.013	0.517	0.687	0.073	0.08	0.87	0.027	0.93	0	0	0.173	0.517	1.017	0.01	0.683	0.213	0.827	0.617	0.41	0.43	0.32	0.353	29	0.375193548387097
7.375	S4	48	0.25	0.777	0.343	0.143	0.283	0.863	0.627	0.67	0.85	0.197	0.63	0.97	0.29	0.253	1.027	0.257	1.14	0.21	0.177	0.767	0.583	1.173	0.257	0.86	0.423	1.097	0.67	0.727	0.62	0.58	0.64	31	0.592064516129032
7.625	S4	48	0.027	0.457	0.057	0.003	0.053	0.733	0.713	0.47	0.623	0.007	0.41	0.803	0.077	0.063	0.81	0.017	1.103	0.017	0.023	0.47	0.433	1.067	0.01	0.857	0.26	0.903	0.713	0.537	0.387	0.293	0.39	31	0.412451612903226
7.875	S4	48	0.06	0.5	0.177	0.07	0.203	0.84	0.643	0.583	0.763	0.063	0.617	0.89	0.123	0.06	0.95	0.05	1.06	0.043	0.06	0.22	0.567	1.173	0.037	0.97	0.223	1.113	0.357	0.597	0.56	0.387	0.497	31	0.466322580645161
